id,municipio,n2025_1s,n2026_1s,var_nom_1s,var_real_1s,rank_1s,monto_necesario_1s,brecha_1s,per100_1s,diff_vs_avg_1s,n2025_jun,n2026_jun,var_nom_jun,var_real_jun,rank_jun,monto_necesario_jun,brecha_jun,per100_jun,diff_vs_avg_jun
1,Adolfo Alsina,8942666418,12057412058,0.348302,0.014767,10,11883629077,-173782981,101.476663,0.03973,1499427589,2035856572,0.357756,0.017046,7,2001735832,-34120740,101.704558,0.058665
2,Adolfo Gonzales Chaves,5212351596,6760213677,0.29696,-0.023798,70,6926952016,166738339,97.620245,0.001166,884693060,1114998322,0.260322,-0.055938,93,1181065236,66066914,94.406159,-0.014319
3,Alberti,5219454689,6645629464,0.273242,-0.041676,109,6935922269,290292805,95.832416,-0.016712,848865987,1103839714,0.30037,-0.02594,37,1133236093,29396379,97.405979,0.015679
4,Almirante Brown,46502572093,60297990291,0.296659,-0.024165,72,61795576545,1497586254,97.583497,0.000799,8242587547,10346173618,0.255209,-0.059768,101,11003854375,657680756,94.023178,-0.018149
5,Arrecifes,5788057668,7476627572,0.291733,-0.027748,78,7691784715,215157143,97.225248,-0.002784,980984149,1239167010,0.263188,-0.053792,88,1309613839,70446829,94.620794,-0.012172
6,Avellaneda,27644643905,36136159283,0.307167,-0.016267,55,36736764029,600604746,98.373261,0.008696,5000008836,6223107086,0.244619,-0.067701,117,6675011796,451904710,93.229904,-0.026081
7,Ayacucho,9201491964,11724630458,0.27421,-0.040948,107,12228182335,503551877,95.905196,-0.015984,1562879195,1946927333,0.245731,-0.066868,115,2086443725,139516392,93.313196,-0.025248
8,Azul,15626460024,19727320441,0.262431,-0.049812,116,20765938127,1038617686,95.018765,-0.024849,2644300041,3268505641,0.236057,-0.074115,124,3530140554,261634914,92.588541,-0.032495
9,Bahía Blanca,29435478400,37788396072,0.28377,-0.033868,93,39115190171,1326794099,96.613231,-0.008904,5143727803,6489949669,0.261721,-0.054891,90,6866876616,376926948,94.51094,-0.013271
10,Balcarce,11074436011,14492764131,0.308668,-0.014978,53,14717164715,224400584,98.502167,0.009985,1860333326,2379071070,0.278841,-0.042066,64,2483544990,104473920,95.793355,-0.000447
11,Baradero,6356896968,8327401225,0.309979,-0.014061,49,8447765100,120363875,98.59395,0.010903,1109138345,1398279625,0.26069,-0.055663,92,1480699691,82420066,94.433708,-0.014043
12,Benito Juárez,9546424767,12516102574,0.311077,-0.013207,45,12686166621,170064046,98.679303,0.011757,1586339900,2083933457,0.313674,-0.015975,24,2117763766,33830309,98.402546,0.025645
13,Berazategui,36400658588,47355701434,0.300957,-0.020936,65,48370673926,1014972492,97.906427,0.004028,6371102749,8136537081,0.2771,-0.043371,65,8505422170,368885089,95.662942,-0.001751
14,Berisso,14906058569,19282386366,0.293594,-0.02648,76,19807376302,524989936,97.351978,-0.001516,2564033226,3322755481,0.29591,-0.029281,45,3422984356,100228875,97.071886,0.012339
15,Bolívar,12079452313,15974500097,0.322452,-0.004696,29,16051825281,77325184,99.530389,0.020268,2038532405,2696232482,0.322634,-0.009263,21,2721440760,25208278,99.073716,0.032357
16,Bragado,11225663915,14384604782,0.281403,-0.035596,96,14916977608,532372826,96.44038,-0.010632,1882912573,2432277733,0.291763,-0.032387,51,2513688285,81410553,96.761311,0.009233
17,Brandsen,4178265228,5510077764,0.318748,-0.007474,34,5552616283,42538519,99.252593,0.01749,742139605,933322532,0.25761,-0.05797,99,990756373,57433841,94.203031,-0.01635
18,Campana,14921936040,21127719017,0.415883,0.065553,2,19828792034,-1298926983,106.555291,0.090517,2572491178,3642189556,0.415822,0.060541,3,3434275723,-207913833,106.054081,0.10216
19,Cañuelas,6930321229,9201055702,0.327652,-0.00081,24,9209975937,8920235,99.918991,0.024154,1249947553,1572025100,0.257673,-0.057923,98,1668679983,96654883,94.207704,-0.016303
20,Capitán Sarmiento,2932560472,4145277715,0.413535,0.063881,3,3897111868,-248165847,106.388142,0.088845,501501455,696549127,0.388927,0.040395,4,669504442,-27044685,104.039508,0.082015
21,Carlos Casares,10399039055,13486230338,0.296873,-0.023954,71,13818665308,332434970,97.604628,0.00101,1724319317,2284065305,0.324619,-0.007776,19,2301966288,17900982,99.222361,0.033843
22,Carlos Tejedor,6247522794,8066783963,0.291197,-0.028159,79,8302437771,235653808,97.184143,-0.003195,1057418613,1336656457,0.264075,-0.053127,87,1411653849,74997392,94.687268,-0.011508
23,Carmen de Areco,2540845601,3441046862,0.354292,0.019403,8,3376988373,-64058489,101.940289,0.044367,456282174,557894181,0.222696,-0.084123,131,609136703,51242522,91.587681,-0.042504
24,Castelli,3699739798,4739146067,0.28094,-0.035951,97,4916466547,177320480,96.404887,-0.010987,627397713,808678249,0.28894,-0.034502,54,837575947,28897698,96.549841,0.007118
