municipio,anio,seccion,partido,votos,porcentaje,votos_positivos,participacion_pct,intendente_electo,total_electores
ADOLFO ALSINA,2013,6,"FRENTE PROGRESISTA CIVICO Y SOCIAL",4222,40.03,10546,74.42,"",14170
ADOLFO ALSINA,2013,6,"ALIANZA FRENTE PARA LA VICTORIA",3983,37.77,10546,74.42,"",14170
ADOLFO ALSINA,2013,6,"FRENTE RENOVADOR",1635,15.5,10546,74.42,"",14170
ADOLFO ALSINA,2013,6,"UNIDOS POR LA LIBERTAD Y EL TRABAJO",706,6.69,10546,74.42,"",14170
ADOLFO ALSINA,2015,6,"ALIANZA CAMBIEMOS BUENOS AIRES",5774,54.43,10609,74.5,"David Abel HIRTZ",14241
ADOLFO ALSINA,2015,6,"ALIANZA FRENTE PARA LA VICTORIA",3963,37.36,10609,74.5,"David Abel HIRTZ",14241
ADOLFO ALSINA,2015,6,"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA",614,5.79,10609,74.5,"David Abel HIRTZ",14241
ADOLFO ALSINA,2015,6,"ALIANZA PROGRESISTAS",258,2.43,10609,74.5,"David Abel HIRTZ",14241
ADOLFO ALSINA,2017,6,"ALIANZA CAMBIEMOS BUENOS AIRES",5790,55.87,10364,72.41,"",14313
ADOLFO ALSINA,2017,6,"ALIANZA UNIDAD CIUDADANA",2266,21.86,10364,72.41,"",14313
ADOLFO ALSINA,2017,6,"ALIANZA 1 PAIS",1253,12.09,10364,72.41,"",14313
ADOLFO ALSINA,2017,6,"ALIANZA FRENTE JUSTICIALISTA",786,7.58,10364,72.41,"",14313
ADOLFO ALSINA,2017,6,"ENCUENTRO POPULAR POR TIERRA, TECHO Y",269,2.6,10364,72.41,"",14313
ADOLFO ALSINA,2019,6,"JUNTOS POR EL CAMBIO",5745,53.38,10762,74.43,"Javier ANDRÉS",14460
ADOLFO ALSINA,2019,6,"FRENTE DE TODOS",4450,41.35,10762,74.43,"Javier ANDRÉS",14460
ADOLFO ALSINA,2019,6,"CONSENSO FEDERAL",567,5.27,10762,74.43,"Javier ANDRÉS",14460
ADOLFO ALSINA,2021,6,"ALIANZA JUNTOS",5665,61.78,9169,62.68,"",14628
ADOLFO ALSINA,2021,6,"FRENTE DE TODOS",2516,27.44,9169,62.68,"",14628
ADOLFO ALSINA,2021,6,"FRENTE VAMOS CON VOS",988,10.78,9169,62.68,"",14628
ADOLFO ALSINA,2023,6,"JUNTOS POR EL CAMBIO",3822,39.3,9726,66.46,"Javier ANDRES",14634
ADOLFO ALSINA,2023,6,"UNION POR LA PATRIA",3418,35.14,9726,66.46,"Javier ANDRES",14634
ADOLFO ALSINA,2023,6,"LA LIBERTAD AVANZA",2486,25.56,9726,66.46,"Javier ANDRES",14634
ADOLFO ALSINA,2025,6,"ALIANZA LA LIBERTAD AVANZA",3145,40.82,7704,52.94,"",14552
ADOLFO ALSINA,2025,6,"ALIANZA FUERZA PATRIA",2519,32.7,7704,52.94,"",14552
ADOLFO ALSINA,2025,6,"ALIANZA SOMOS BUENOS AIRES",1715,22.26,7704,52.94,"",14552
ADOLFO ALSINA,2025,6,"ALIANZA UNION Y LIBERTAD",325,4.22,7704,52.94,"",14552
ADOLFO GONZALES CHAVES,2013,6,"UNION VECINAL DE GONZALES CHAVES",2889,36.1,8003,78.15,"",10240
ADOLFO GONZALES CHAVES,2013,6,"ALIANZA FRENTE PARA LA VICTORIA",2286,28.56,8003,78.15,"",10240
ADOLFO GONZALES CHAVES,2013,6,"CONSTRUCCION SOCIAL PARTICIPATIVA",1788,22.34,8003,78.15,"",10240
ADOLFO GONZALES CHAVES,2013,6,"FRENTE RENOVADOR",1040,13,8003,78.15,"",10240
ADOLFO GONZALES CHAVES,2015,6,"ALIANZA FRENTE PARA LA VICTORIA",3597,42.08,8549,82.04,"Eduardo Marcelo SANTILLAN",10420
ADOLFO GONZALES CHAVES,2015,6,"UNION VECINAL DE ADOLFO GONZALES CHAVES",3281,38.38,8549,82.04,"Eduardo Marcelo SANTILLAN",10420
ADOLFO GONZALES CHAVES,2015,6,"ALIANZA CAMBIEMOS BUENOS AIRES",901,10.54,8549,82.04,"Eduardo Marcelo SANTILLAN",10420
ADOLFO GONZALES CHAVES,2015,6,"CONSTRUCCION SOCIAL PARTICIPATIVA",390,4.56,8549,82.04,"Eduardo Marcelo SANTILLAN",10420
ADOLFO GONZALES CHAVES,2015,6,"ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA",380,4.44,8549,82.04,"Eduardo Marcelo SANTILLAN",10420
ADOLFO GONZALES CHAVES,2017,6,"ALIANZA UNIDAD CIUDADANA",2353,30.11,7814,74.61,"",10473
ADOLFO GONZALES CHAVES,2017,6,"UNION VECINAL DE ADOLFO GONZALES CHAVES",1871,23.94,7814,74.61,"",10473
ADOLFO GONZALES CHAVES,2017,6,"ALIANZA CAMBIEMOS BUENOS AIRES",1797,23,7814,74.61,"",10473
ADOLFO GONZALES CHAVES,2017,6,"ALIANZA 1 PAIS",900,11.52,7814,74.61,"",10473
ADOLFO GONZALES CHAVES,2017,6,"CONSTRUCCION SOCIAL PARTICIPATIVA",893,11.43,7814,74.61,"",10473
ADOLFO GONZALES CHAVES,2019,6,"FRENTE DE TODOS",3452,41.1,8399,79.41,"Eduardo Marcelo SANTILLÁN",10577
ADOLFO GONZALES CHAVES,2019,6,"UNION VECINAL DE ADOLFO GONZALES CHAVES",2789,33.21,8399,79.41,"Eduardo Marcelo SANTILLÁN",10577
ADOLFO GONZALES CHAVES,2019,6,"JUNTOS POR EL CAMBIO",2158,25.69,8399,79.41,"Eduardo Marcelo SANTILLÁN",10577
ADOLFO GONZALES CHAVES,2021,6,"ALIANZA JUNTOS",3404,46.06,7391,68.76,"",10749
ADOLFO GONZALES CHAVES,2021,6,"FRENTE DE TODOS",2718,36.77,7391,68.76,"",10749
ADOLFO GONZALES CHAVES,2021,6,"UNION VECINAL DE ADOLFO GONZALES CHAVES",1138,15.4,7391,68.76,"",10749
ADOLFO GONZALES CHAVES,2021,6,"PARTIDO HUMANISTA",131,1.77,7391,68.76,"",10749
