provincia,poblacion_censo2022,pct_poblacion,obras_cantidad,obras_millones,pct_obras_nacionales,obras_pesos_por_habitante,gasto_geolocalizado_2027_millones,pct_gasto_geolocalizado,gasto_geo_pesos_por_habitante
Santa Cruz,337226,0.73,11,98361,7.47,291677,1491006,0.94,4421385
Salta,1441351,3.14,18,127446,9.67,88421,4426421,2.79,3071022
Jujuy,811611,1.77,11,45158,3.43,55640,2506002,1.58,3087689
La Rioja,383865,0.84,13,20893,1.59,54428,1246875,0.78,3248212
Chubut,592621,1.29,15,30608,2.32,51649,2340282,1.47,3949037
Tierra del Fuego,185732,0.4,11,8924,0.68,48048,676026,0.43,3639793
Catamarca,429562,0.94,11,20569,1.56,47884,1626771,1.02,3787046
Río Negro,750768,1.64,26,30596,2.32,40753,3610176,2.27,4808644
San Juan,822853,1.79,6,31608,2.4,38413,2741536,1.73,3331745
Tucumán,1731820,3.77,16,53366,4.05,30815,5446666,3.43,3145053
Santiago del Estero,1060906,2.31,8,28982,2.2,27318,3104687,1.95,2926449
Corrientes,1212696,2.64,11,27546,2.09,22715,3155657,1.99,2602183
Neuquén,710814,1.55,16,15043,1.14,21163,2145111,1.35,3017823
Formosa,607419,1.32,11,12196,0.93,20078,1442641,0.91,2375034
Buenos Aires,17523996,38.19,72,321084,24.37,18323,48431377,30.48,2763718
La Pampa,361859,0.79,10,6198,0.47,17128,1344793,0.85,3716345
Entre Ríos,1425578,3.11,11,23488,1.78,16476,3538922,2.23,2482447
Mendoza,2043540,4.45,16,32713,2.48,16008,6759477,4.25,3307729
CABA,3121707,6.8,71,45257,3.43,14498,34927515,21.98,11188595
Misiones,1278873,2.79,15,13384,1.02,10465,3429608,2.16,2681742
Chaco,1129606,2.46,10,10496,0.8,9292,3190898,2.01,2824788
Santa Fe,3544908,7.72,15,29967,2.27,8454,9185714,5.78,2591242
San Luis,542069,1.18,5,4235,0.32,7813,1694741,1.07,3126430
Córdoba,3840905,8.37,11,15781,1.2,4109,10453294,6.58,2721571
