nivel_o_programa,gastos_en_personal,bienes_de_uso,transferencias,total_millones_2027,pct_del_total_pba
TOTAL PROVINCIA DE BUENOS AIRES,3252187,331732,44317456,48431377,"100,0"
Ministerio de Capital Humano,0,151,38539128,38543560,"79,584"
ANSES,0,151,35399436,35399587,"73,092"
Prestaciones Previsionales,0,0,26677084,26677084,"55,082"
Prestaciones Previsionales del Régimen de Reparto,0,0,16558071,16558071,"34,189"
Prestaciones Previsionales por Moratoria Previsional,0,0,10119013,10119013,"20,894"
Asignación Universal para Protección Social (AUH),0,0,3308448,3308448,"6,831"
Ministerio de Salud,98893,10707,2697211,2943850,"6,078"
Ministerio de Defensa,1248282,61156,1118726,2645636,"5,463"
Ministerio de Seguridad Nacional,999083,5142,1537623,2620760,"5,411"
Secretaría de Educación,0,0,1880241,1880241,"3,882"
Desarrollo de la Educación Superior (universidades nacionales),0,0,1614858,1614858,"3,334"
Asignaciones Familiares Activos,0,0,1538320,1538320,"3,176"
"Caja de Retiros, Jubilaciones y Pensiones de la Policía Federal",0,0,1537221,1537221,"3,174"
Pensiones no Contributivas por Invalidez Laborativa,0,0,1503761,1503761,"3,105"
"Secretaría Nacional de Niñez, Adolescencia y Familia",0,0,1207279,1211450,"2,501"
Instituto de Ayuda Financiera para pago de Retiros y Pensiones Militares,0,0,1118652,1118652,"2,310"
Prestaciones de Previsión Social (Defensa),0,0,1118652,1118652,"2,310"
Políticas Alimentarias,0,0,1107262,1107262,"2,286"
Prestación Alimentar,0,0,1107262,1107262,"2,286"
Administración de Beneficios Previsionales Policía Federal,0,0,1021273,1021273,"2,109"
Asistencia Financiera para el Pago de Salario Docente (partida mayor),0,0,1004146,1004146,"2,073"
Complementos a las Prestaciones Previsionales,0,0,998839,998839,"2,062"
Atención de Beneficiarios con Aportes,0,0,989127,989127,"2,042"
Transferencias al Instituto Nacional de Servicios Sociales (PAMI),0,0,943603,943603,"1,948"
Estado Mayor General de la Armada Argentina,588997,39327,6,715359,"1,477"
Ministerio de Economía,319284,253182,36738,684767,"1,414"
Reparación Histórica de Haberes,0,0,660121,660121,"1,363"
Atención Médica a los Beneficiarios de Pensiones no Contributivas,0,0,646472,646472,"1,335"
Obligaciones a Cargo del Tesoro,220000,0,385000,605000,"1,249"
Estado Mayor General del Ejército Argentino,486703,3010,67,602299,"1,244"
Alistamiento Operacional de la Armada,421071,39327,0,519826,"1,073"
Transferencias Varias y Erogaciones Figurativas,0,0,499080,499080,"1,030"
Asistencia Financiera para el Pago de Salario Docente (segunda partida),0,0,493309,493309,"1,019"
Pensión Universal para el Adulto Mayor,0,0,452975,452975,"0,935"
Pensiones No Contributivas (Decreto N° 746/2021),0,0,432627,432627,"0,893"
Gendarmería Nacional,385134,327,0,396635,"0,819"
Pensiones no Contributivas Madres de 7 o más hijos,0,0,371828,371828,"0,768"
Asignaciones Familiares Pasivos,0,0,338720,338720,"0,699"
Alistamiento Operacional del Ejército,267680,3010,0,334062,"0,690"
Servicio Penitenciario Federal,225403,349,402,276548,"0,571"
Poder Judicial de la Nación · Justicia Federal,266596,140,0,272997,"0,564"
Plan Nacional de Alfabetización,0,0,248158,248158,"0,512"
Universalización Jornada Extendida,0,0,246587,246587,"0,509"
Seguridad y Rehabilitación del Interno,197378,255,0,245476,"0,507"
Seguro de Desempleo,0,0,243139,243139,"0,502"
Subsidios a Pensiones No Contributivas,0,0,237989,237989,"0,491"
Operaciones Complementarias de Seguridad Interior,224376,327,0,232662,"0,480"
Administración Nacional de Establecimientos de Salud,91004,4612,0,229052,"0,473"
Asignaciones Familiares Monotributistas,0,0,224834,224834,"0,464"
Funcionamiento Hospital El Cruce · Florencio Varela,0,0,220607,220607,"0,456"
Comisión Nacional de Energía Atómica (CNEA),,,,137895,"0,285"
Funcionamiento Hospital de Cuenca Alta Néstor Kirchner · Cañuelas,,,,137503,"0,284"
Dirección Nacional de Vialidad,,,,112328,"0,232"
Funcionamiento Hospital de Alta Complejidad del Bicentenario · Esteban Echeverría,,,,81595,"0,168"
Atención Especializada en Rehabilitación y Cuidados Paliativos,,,,62901,"0,130"
Funcionamiento Hospital Dr. René Favaloro · La Matanza,,,,46292,"0,096"
Infraestructura de Transporte · Programa MAS (corredores metropolitanos),,,,32328,"0,067"
Desarrollos y Suministros para la Energía Nuclear,,,,27553,"0,057"
Funcionamiento Hospital Presidente Néstor Kirchner,,,,13082,"0,027"
Fortalecimiento de los Sistemas Provinciales de Salud,,,,12741,"0,026"
Desarrollo de la Ciencia y Técnica del Agua,,,,7153,"0,015"
Desarrollo Sustentable de la Cuenca Matanza-Riachuelo,,,,6899,"0,014"
Desarrollo de la Infraestructura Hidráulica,,,,5533,"0,011"
Apoyo para la Expansión de la Infraestructura para Agua Potable,,,,5523,"0,011"
Fortalecimiento de la Ciencia y la Técnica en Universidades,,,,2318,"0,005"
Formulación y Ejecución de Políticas de Transporte Terrestre,,,,1500,"0,003"
Asistencia a Municipios para Infraestructura Social,,,,953,"0,002"
Regulación de los Mercados Eléctricos y del Transporte y Distribución de Gas,,,,431,"0,001"
Rehabilitación y Repavimentación Viales,,,,400,"0,001"
Formulación y Ejecución de la Política de Energía Eléctrica,,,,175,"0,000"
