id,obra,jurisdiccion,entidad,categoria,monto_millones_2027,partidos,referencia_geografica,precision_geo,lat,lon,tramo_lat_a,tramo_lon_a,tramo_lat_b,tramo_lon_b,financiamiento,tesoro,propios,afectados,transf_internas,credito_interno,transf_externas,credito_externo,codigo_proyecto,costo_total_millones,monto_2028,monto_2029,monto_resto,pct_costo_total_en_2027
PBA-01,"Remodelación y ampliación del edificio, Juzgado Federal de Junín Cabrera 222, Junín, BS.AS.",Poder Judicial de la Nación,Poder Judicial de la Nación,Justicia federal,140,Junín,Junín (localidad),localidad,-34.59394,-60.94643,,,,,Recursos afectados 100%,0,0,140,0,0,0,0,68989,2806,2666,0,0,5.0
PBA-02,"Refacción de inmueble para sede de la Defensoría de Bahía Blanca, PBA",Ministerio Público,Ministerio Público,Justicia federal,237,Bahía Blanca,Bahía Blanca (localidad),localidad,-38.72277,-62.27274,,,,,Recursos afectados 100%,0,0,237,0,0,0,0,,,,,,
PBA-03,"Refacción de inmueble para sede de la Defensoría de Dolores, PBA",Ministerio Público,Ministerio Público,Justicia federal,67,Dolores,Dolores (localidad),localidad,-36.31539,-57.67546,,,,,Tesoro nacional 100%,67,0,0,0,0,0,0,,,,,,
PBA-04,"Ampliación de inmueble para sede de la Defensoría de Mar del Plata, PBA",Ministerio Público,Ministerio Público,Justicia federal,278,General Pueyrredón,Mar del Plata (localidad),localidad,-38.00645,-57.54384,,,,,Tesoro nacional 100%,278,0,0,0,0,0,0,,,,,,
PBA-05,"Impermeabilización de inmueble en la ciudad de San Martín, Provincia de Buenos Aires",Ministerio Público,Ministerio Público,Justicia federal,11,General San Martín,San Martín (localidad),localidad,-34.57791,-58.53866,,,,,Tesoro nacional 100%,11,0,0,0,0,0,0,,,,,,
PBA-06,"Reacondicionamiento del edificio en Garibaldi 208, San Nicolás de los Arroyos, Buenos Aires",Ministerio Público,Ministerio Público,Justicia federal,7,San Nicolás,San Nicolás de los Arroyos (localidad),localidad,-33.33840,-60.22150,,,,,Tesoro nacional 100%,7,0,0,0,0,0,0,,,,,,
PBA-07,"Reemplazo de tejas para inmueble de la ciudad de San Isidro, Provincia de Buenos Aires",Ministerio Público,Ministerio Público,Justicia federal,6,San Isidro,San Isidro (localidad),localidad,-34.46988,-58.51129,,,,,Tesoro nacional 100%,6,0,0,0,0,0,0,,,,,,
PBA-08,"Incorporación de Cuatro Helicópteros Navales Livianos, Base Naval Puerto Belgrano, Provincia de Buenos Aires (CACIB - S/N)",Ministerio de Defensa,Estado Mayor General de la Armada Argentina,Defensa,37616,Coronel Rosales,Punta Alta (localidad) — Base Naval Puerto Belgrano,localidad,-38.87817,-62.07948,,,,,Crédito externo 100%,0,0,0,0,0,0,37616,,,,,,
PBA-09,Modernización y Actualización Tecnológica de la Infraestructura para la Incorporación de una Aeronave de caza multirol en la VI Brigada Aérea - Tandil - Provincia de Buenos Aires y en el Área Material Río Cuarto - Las Higueras - Provincia de Córdoba.,Ministerio de Defensa,Estado Mayor General de la Fuerza Aérea Argentina,Defensa,10090,Tandil,Tandil (localidad) — VI Brigada Aérea,localidad,-37.32870,-59.13690,,,,,Tesoro nacional 100%,10090,0,0,0,0,0,0,,,,,,
PBA-10,Construcción de viviendas sustentables en zona bioclimática Templado Cálido – Zona IIIa – Marcos Paz – Buenos Aires (GEF 4861),Ministerio de Economía,Infraestructura,Vivienda,2713,Marcos Paz,Marcos Paz (localidad),localidad,-34.78432,-58.83534,,,,,Transferencias externas 100%,0,0,0,0,0,2713,0,153555,2981,268,0,0,91.0
PBA-11,Construcción Planta de Tratamiento Efluentes Líquidos Industriales PIC Lanús (BIRF N°7706-AC),Ministerio de Economía,Infraestructura,Saneamiento,6899,Lanús,Lanús (localidad) — Parque Industrial,localidad,-34.70756,-58.39113,,,,,Tesoro nacional 100%,6899,0,0,0,0,0,0,,,,,,
PBA-12,Complejo Federal de Condenados de Agote,Ministerio de Economía,Infraestructura,Sistema penitenciario,39247,Mercedes,Mercedes (partido) — Complejo de Agote,municipio,-34.65073,-59.43139,,,,,Tesoro nacional 100%,39247,0,0,0,0,0,0,,,,,,
PBA-13,Construcción Unidad 36 Complejo Federal de Condenados Agote,Ministerio de Economía,Infraestructura,Sistema penitenciario,6136,Mercedes,Mercedes (partido) — Complejo de Agote,municipio,-34.65073,-59.43139,,,,,Tesoro nacional 100%,6136,0,0,0,0,0,0,148764,46136,30000,10000,0,13.3
PBA-14,Mejora Integral del Ferrocarril General Roca - Ramal Constitución - La Plata (BID N°2982/OC-AR - BID N°5320/OC-AR),Ministerio de Economía,Infraestructura,Ferrocarril,1500,La Plata,Ramal Constitución–La Plata (fila PBA),localidad,-34.91550,-57.94799,,,,,Tesoro nacional 100%,1500,0,0,0,0,0,0,,,,,,
PBA-15,"Programa MAS, AMBA - Etapa IV - Construcción y Rehabilitación de Corredores Urbanos en la Región Metropolitana de Buenos Aires",Ministerio de Economía,Infraestructura,Vialidad urbana metropolitana,8000,,Región Metropolitana de Buenos Aires — partidos no declarados,sin_declarar,,,,,,,Tesoro nacional 100%,8000,0,0,0,0,0,0,,,,,,
PBA-16,"Construcción y Rehabilitación de Corredores Urbanos en la Región Metropolitana de Buenos Aires (Programa MAS, Etapa III)",Ministerio de Economía,Infraestructura,Vialidad urbana metropolitana,24328,,Región Metropolitana de Buenos Aires — partidos no declarados,sin_declarar,,,,,,,Tesoro nacional 100%,24328,0,0,0,0,0,0,,,,,,
PBA-17,"Ampliación Edilicia y Actualización de Infraestructura y Equipamiento del Área de Gestión de Residuos Radiactivos y Fuentes - Ezeiza, Prov. Buenos Aires",Ministerio de Economía,Comisión Nacional de Energía Atómica (CNEA),Nuclear y ciencia,1048,Ezeiza,Ezeiza (localidad) — Centro Atómico Ezeiza,localidad,-34.85439,-58.52476,,,,,Tesoro nacional 100%,1048,0,0,0,0,0,0,,,,,,
PBA-18,Desarrollo y Fabricación de Instrumentos de Caracterización de Materiales Utilizando Haces de Neutrones del RA - 10,Ministerio de Economía,Comisión Nacional de Energía Atómica (CNEA),Nuclear y ciencia,9900,Ezeiza,Ezeiza (localidad) — Centro Atómico Ezeiza (RA-10),localidad,-34.85439,-58.52476,,,,,Tesoro nacional 100%,9900,0,0,0,0,0,0,,,,,,
PBA-19,"Construcción de Sede del Instituto Sabato en el Centro Atómico Constituyentes, Provincia de Buenos Aires",Ministerio de Economía,Comisión Nacional de Energía Atómica (CNEA),Nuclear y ciencia,1400,General San Martín,San Martín (localidad) — Centro Atómico Constituyentes,localidad,-34.57791,-58.53866,,,,,Tesoro nacional 100%,1400,0,0,0,0,0,0,,,,,,
PBA-20,"Desarrollo y Fabricación de Micro y Nano Dispositivos, Detectores y Sensores para uso en Aplicaciones Médicas, Energía y Memorias en el CAC, Prov. de Buenos Aires",Ministerio de Economía,Comisión Nacional de Energía Atómica (CNEA),Nuclear y ciencia,196,General San Martín,San Martín (localidad) — Centro Atómico Constituyentes,localidad,-34.57791,-58.53866,,,,,Tesoro nacional 100%,196,0,0,0,0,0,0,,,,,,
PBA-21,Equipamiento de Centro de Investigación y Desarrollo en el Centro Atómico Constituyentes,Ministerio de Economía,Comisión Nacional de Energía Atómica (CNEA),Nuclear y ciencia,1000,General San Martín,San Martín (localidad) — Centro Atómico Constituyentes,localidad,-34.57791,-58.53866,,,,,Tesoro nacional 100%,1000,0,0,0,0,0,0,,,,,,
PBA-22,"Diseño, Montaje e Implementación de 7 Instrumentos del Laboratorio Argentino de Haces de Neutrones - CAE - Ezeiza - Provincia de Buenos Aires",Ministerio de Economía,Comisión Nacional de Energía Atómica (CNEA),Nuclear y ciencia,10276,Ezeiza,Ezeiza (localidad) — Centro Atómico Ezeiza,localidad,-34.85439,-58.52476,,,,,Tesoro nacional 100%,10276,0,0,0,0,0,0,,,,,,
PBA-23,"Construcción de una Planta de Producción de Radioisótopos por Fisión en el Centro Atómico Ezeiza, Pcia. de Buenos Aires",Ministerio de Economía,Comisión Nacional de Energía Atómica (CNEA),Nuclear y ciencia,1500,Ezeiza,Ezeiza (localidad) — Centro Atómico Ezeiza,localidad,-34.85439,-58.52476,,,,,Tesoro nacional 100%,1500,0,0,0,0,0,0,,,,,,
PBA-24,"Instalación de un Sistema de Generación Eléctrica Distribuida de 700 kW mediante Energía Solar Fotovoltaica en el Centro Atómico Ezeiza, Ezeiza, Provincia de Buenos Aires",Ministerio de Economía,Comisión Nacional de Energía Atómica (CNEA),Nuclear y ciencia,250,Ezeiza,Ezeiza (localidad) — Centro Atómico Ezeiza,localidad,-34.85439,-58.52476,,,,,Tesoro nacional 100%,250,0,0,0,0,0,0,,,,,,
PBA-25,"Modernización y Equipamiento de Laboratorios en Materiales Avanzados, Recubiertos y Tribología",Ministerio de Economía,Comisión Nacional de Energía Atómica (CNEA),Nuclear y ciencia,178,,CNEA — sin localización declarada,sin_declarar,,,,,,,Tesoro nacional 100%,178,0,0,0,0,0,0,,,,,,
PBA-26,Reacondicionamiento y Actualización del Circuito Experimental de Baja Presión del Centro Atómico Constituyentes,Ministerio de Economía,Comisión Nacional de Energía Atómica (CNEA),Nuclear y ciencia,2527,General San Martín,San Martín (localidad) — Centro Atómico Constituyentes,localidad,-34.57791,-58.53866,,,,,Tesoro nacional 100%,2527,0,0,0,0,0,0,,,,,,
